Id,Type,Job Name,User Name,Date,Time,Print Pages,Color Pages
1,Print(Network),Brother MFC-L8900CDW series,emaceda,12/02/19,13:32:15,1,1
2,Print(Network),Valores Residuales 29-11-2019.docx,-,12/02/19,13:42:07,2,2
3,Print(Network),Cobranza 1 al 30-nov-19.xlsm,ggonzalez,12/02/19,13:44:04,1,0
4,Print(Network),Libro1,amunguia,12/02/19,13:46:15,1,0
5,Print(Network),Usuarios 2019.xlsx,arodriguez,12/02/19,13:55:58,1,0
6,Print(Network),Credit Suisse Propuesta de AdministraciÛn Sustituta Credijusto ,fderio,12/02/19,16:23:51,7,7
7,Print(Network),Documento1,aperez,12/02/19,16:35:05,2,0
8,Print(Network),E9547EB8-9209-4CBA-B267-BB650CC79A04.pdf,aperez,12/02/19,16:35:41,1,1
9,Print(Network),Documento2,aperez,12/02/19,16:39:31,2,0
10,Print(Network),007CDF09-2C33-4007-8D02-8301C1D0E250.pdf,aperez,12/02/19,16:39:53,1,1
11,Print(Network),SOLICITUD DE TCE.xls,abalcazar,12/02/19,16:45:09,1,0
12,Print(Network),SOLICITUD DE TCE.xls,abalcazar,12/02/19,16:47:52,1,0
13,Print(Network),SOLICITUD DE TCE.xls,abalcazar,12/02/19,16:50:21,1,0
14,Print(Network),SOLICITUD DE TCE.xls,abalcazar,12/02/19,16:52:21,1,0
15,Print(Network),-,-,12/02/19,16:53:38,1,1
16,Print(Network),-,-,12/02/19,17:02:16,1,1
17,Print(Network),-,-,12/02/19,17:18:48,1,1
18,Print(Network),-,-,12/02/19,17:19:05,1,1
19,Print(Network),1969534299.pdf,sgonzalez,12/02/19,17:26:36,4,3
20,Print(Network),1969534299.pdf,sgonzalez,12/02/19,17:29:31,4,4
21,Print(Network),file:   C: Users amunguia Doctos_Digitales F0000003180.htm,amunguia,12/02/19,17:31:26,2,0
22,Print(Network),file:   C: Users amunguia Doctos_Digitales F0000003181.htm,amunguia,12/02/19,17:36:03,2,0
23,Print(Network),CLASIFICACI”N.xlsx,ggonzalez,12/02/19,17:39:35,1,0
24,Print(Network),Libro1,ggonzalez,12/02/19,17:42:40,3,0
25,Print(Network),1969576106.pdf,sgonzalez,12/02/19,17:44:51,5,4
26,Print(Network),SOLICITUD DE CHEQUE Inmobiliaria GYP  3_12_2018.xls,groman,12/02/19,17:59:07,1,1
27,Print(Network),file:   C: Users amunguia Doctos_Digitales F0000003183.htm,amunguia,12/02/19,18:11:11,2,0
28,Print(Network),Comprobante Pago Mismo Banco,amunguia,12/02/19,18:58:58,1,0
29,Print(Network),https:  www.bancomernetcash.com SMXBDNT7 mexiconetpibee_v7 serv,asosa,12/03/19,7:23:08,1,0
30,Print(Network),Banca ElectrÛnica PyME-BEP,asosa,12/03/19,7:26:18,4,0
31,Print(Network),Banca ElectrÛnica PyME-BEP,asosa,12/03/19,7:26:45,1,0
32,Print(Network),Banca ElectrÛnica PyME-BEP,asosa,12/03/19,8:22:52,2,0
33,Print(Network),Banca ElectrÛnica PyME-BEP,asosa,12/03/19,8:23:19,1,0
34,Copy,-,-,12/03/19,8:26:19,2,0
35,Copy,-,-,12/03/19,8:26:39,1,0
36,Copy,-,-,12/03/19,8:26:59,3,0
37,Print(Network),Reporte de DispersiÛn FM 031219.xlsx,pmolano,12/03/19,9:31:56,1,1
38,Print(Network),Archivo PDF,garreola,12/03/19,9:36:05,2,2
39,Print(Network),IMG_20191202_135627.jpg,garreola,12/03/19,9:45:14,1,1
40,Print(Network),18141812 DAMIAN CARBALLO VICENCIO.xlsx,fderio,12/03/19,9:49:27,1,1
41,Print(Network),-,-,12/03/19,9:52:16,2,2
42,Print(Network),Memorando,mornelas,12/03/19,9:54:11,3,0
43,Print(Network),18151504 AGUILAR GRANADOS BERENICE.xlsx,fderio,12/03/19,9:56:57,1,1
44,Print(Network),-,-,12/03/19,10:01:38,1,1
45,Print(Network),-,-,12/03/19,10:02:03,2,2
46,Print(Network),GPA930101QI7_A_5347446_AAT011005K99.pdf,abalcazar,12/03/19,10:03:18,1,1
47,Print(Network),SECFD_20191203_095143.pdf,abalcazar,12/03/19,10:03:42,1,1
